"gene","pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos"
"ZFP1",0.191858446697259,194.903596598639,166.751806818182,10.9224371983509,14.4730108733662,110.2058,109.21765,231.67105,194.8443
"KRBA2",0.0532345345349647,25.3151979591837,19.0587954545455,1.66541123799096,1.87935479310067,12.34135,9.882075,31.97835,26.393975
"ZNF93",0.00262185112750757,23.0009755102041,43.2543181818182,2.48673435453653,8.89249273541513,5.1002,8.662875,27.89785,47.92505
"ZFP90",0.306771540083138,280.558993197279,248.341636363636,16.4309865968046,16.7595580084047,188.1913,169.35555,312.63585,296.7985
"ZNF479",0.498311657451406,0.497291156462585,0.191802272727273,0.242587209480713,0.135236352435151,0,0,0,0
"ZNF445",0.0296578877531932,394.56842585034,466.57805,13.4932101952007,39.8496042355265,275.3162,298.277825,469.84195,528.0845
"ZNF74",0.816624387356539,213.869484353741,218.690590909091,10.2541336697467,16.2911207358639,139.0288,143.5691,242.4334,249.022525
"ZNF829",0.31612946563795,5.92685578231293,7.16292727272727,0.573277555286881,1.1781613877187,1.3622,2.015825,7.97355,9.44035
"ZNF267",0.278150167951006,155.258320408163,171.772184090909,7.32718037535431,13.0715774114156,100.7225,123.8598,186.7023,204.799975
"ZNF566",0.732623314377477,126.108389115646,129.540075,4.53823537357443,10.3288176976732,91.44825,87.941425,151.71905,142.939675
"ZNF224",0.368640361028851,143.828579591837,131.506281818182,6.56310136902393,11.9938840003306,89.69805,70.201275,176.30035,190.253025
"ZNF529",0.161099730399302,201.665785034014,229.422459090909,8.45493677537964,22.4898786142226,139.0678,139.730675,240.1274,264.210625
"ZNF284",0.295385711322985,16.7901768707483,19.9136772727273,1.38470214181599,2.86805176412867,7.05415,8.826575,22.2769,27.1474
"ZNF749",0.297608259070323,42.0418210884354,46.1617977272727,1.91134332344616,3.34600501174624,27.01855,29.3907,52.93235,60.135625
"ZNF17",0.791091254792557,82.3162959183673,83.8028227272727,2.59996930264379,5.4359862961298,62.9554,59.219625,97.99035,102.330225
"ZNF555",0.216755227802907,64.3203544217687,71.9253636363636,2.7517428036134,6.44076185645088,44.26645,40.371575,77.58885,91.348475
"ZNF75D",0.0992992440438383,268.507585714286,230.935552272727,10.6494228836851,21.3078832839468,172.488,129.591025,335.42245,265.34725
"ZNF197",0.537745098211155,304.039989115646,316.004243181818,9.10099302580026,18.1921971406718,225.77865,232.5627,373.7842,381.15275
"ZNF732",0.647985787498935,2.55164761904762,2.82848181818182,0.284002861786743,0.569902300881872,0.7324,0.625625,2.7194,3.108175
"ZNF546",0.239307431726559,67.6847455782313,61.7435840909091,2.37641204074081,4.65070899692847,48.5471,43.532775,82.5361,74.625225
"ZNF286A",0.062032976052617,89.6726802721088,108.506015909091,4.40828290185297,10.9572035947758,56.13755,60.82545,109.058,151.35385
"ZKSCAN4",0.828559331271216,108.309525170068,110.248040909091,4.22860605320641,8.21566276354986,72.23265,80.0275,133.65035,141.415125
"ZNF643",0.512207182377931,23.9970360544218,25.8253068181818,1.27951092510877,2.7663546789045,13.2992,14.7074,29.65875,31.9921
"ZNF642",0.580690993198903,71.6069136054422,75.1703022727273,3.18963870242156,4.9885351878468,45.701,53.56555,94.4025,91.81275
"ZNF490",0.857164305377454,158.254257823129,160.491954545455,5.89536765851426,11.2787584426753,110.37465,107.7797,189.65255,180.2561
"ZNF626",0.584333271460693,87.1596006802721,77.8467090909091,8.49503741188374,12.5831963320584,32.61985,19.217025,100.53585,86.0328
"ZNF793",0.763094422751887,33.6089197278912,35.7708159090909,3.48900584063767,5.95258656709967,6.7849,3.442425,46.58775,50.13355
"ZNF383",0.855759905545303,64.145362585034,65.0178022727273,2.24418142720335,4.53689430736952,46.5906,47.211225,76.16475,72.968525
"ZNF669",0.360736023438554,70.6823095238095,78.92655,4.42663009262577,7.18565842863312,39.96925,49.39615,87.0573,102.85695
"ZNF559",0.607407441070171,164.38093877551,154.477638636364,9.40522354148699,15.7870615268578,94.5384,90.421975,200.0241,206.199
"ZNF177",0.895678540253989,33.6302340136054,34.3596318181818,2.48916734377351,5.84054443422333,12.0249,13.266475,44.80545,39.346875
"ZNF548",0.885845669254698,185.396317687075,187.997945454545,8.89419967075653,14.5111714135277,118.2227,102.04565,220.97025,242.318575
"ZNF563",0.98178249585655,240.175106802721,240.745575,11.8179491833826,22.8367508386862,146.2257,133.247275,307.9517,322.52205
"ZNF567",0.219477243965752,72.8661482993197,82.3759363636364,3.47067390468492,8.0569929123798,45.21045,47.090475,92.4253,102.87725
"ZNF573",0.995608790509378,12.6244265306122,12.6316795454545,0.604900714304262,1.30728950499043,7.47275,6.442675,16.67505,16.391775
"ZNF527",0.618346224502138,86.7814142857143,89.9869659090909,2.89420952939439,6.67603446149487,64.32525,66.4237,106.2715,115.16265
"ZNF33A",0.58648092142947,840.596683673469,812.909586363636,24.5065412239786,43.8390301898963,647.3543,585.693525,946.132,990.5842
"ZKSCAN3",0.0905066431199678,96.6435639455782,117.812193181818,5.13511762956477,14.9839529550079,51.5373,55.29085,132.29915,138.969275
"ZNF676",0.469941820455279,20.0095700680272,14.8425159090909,3.67360900146514,4.38174765228172,0,0,13.97615,16.523775
"ZNF699",0.870077089961143,8.31732925170068,8.09031136363636,0.631447420052193,1.40578882756565,2.78405,2.3595,12.57165,10.412
"ZNF250",0.0158110926716608,152.059440816327,186.375704545455,6.42285793753185,14.2752950254292,99.08075,130.663525,185.2841,209.316375
"ZNF79",0.369164297935168,89.6843646258503,95.165575,2.60803293001083,6.94704205511909,66.4508,69.77085,107.0256,114.49345
"ZNF681",0.300729290818197,49.9742700680272,61.3353159090909,4.83584605119697,11.8404706825624,10.25625,11.6344,68.93505,85.16885
"ZNF766",0.442549508297202,292.23326462585,307.290777272727,9.71308119942942,15.0016517022127,209.58265,236.915175,341.3072,358.0099
"ZNF471",0.140371855392927,39.8253585034014,54.8682704545455,4.80888983490494,9.31972704269181,5.4479,7.214775,52.7656,85.987875
"ZNF836",0.623118564617278,54.9846476190476,57.9785113636364,2.91682584375545,5.35035455533886,33.62675,35.57375,65.5948,74.881025
"ZNF493",0.333549524861318,89.4638462585034,79.1758659090909,5.03309483660851,9.67445317103784,49.7907,34.2963,118.60865,127.325
"ZNF167",0.85849314793276,31.8719068027211,30.8247681818182,2.42157043387589,7.06040280933543,11.24075,7.2339,43.31455,40.350275
"ZNF565",0.982214365608184,57.1168224489796,57.0276863636364,1.99269617574422,2.9825794071745,41.21335,42.570475,65.63855,67.467375
"ZNF34",0.193327886404672,142.154008163265,160.290061363636,6.78365220013863,11.4407426152933,87.6521,115.2927,173.45215,192.680375
"ZNF140",0.126536932707877,308.420631972789,278.942575,9.66498272447264,13.7281854166666,235.6082,219.50925,372.53845,341.879125
"ZNF658",0.391895730290528,30.6765761904762,33.4142181818182,1.45920230889316,3.2052725810943,18.426,18.33765,39.33515,44.792775
"ZNF765",0.0116351934018792,118.322312244898,149.296445454545,5.45224044004531,12.7573873110122,75.22955,75.386275,144.9213,200.22085
"ZNF124",0.909831533408602,46.7143095238095,45.8763522727273,3.5760978561674,6.29570050745857,18.75285,17.0534,59.5895,67.5311
"ZNF569",0.11001035151602,106.351653061224,125.042256818182,5.05230740822301,12.9921908005791,63.26825,73.195825,141.28395,167.489625
"ZNF777",0.984812731780161,493.622019047619,493.107209090909,12.4141314882605,26.8239711907989,381.8486,375.03955,593.8262,574.847475
"ZNF605",0.372981985652651,307.841070068027,330.626284090909,12.2489758174213,22.3665845300217,205.3012,234.0794,381.6042,390.765725
"ZNF799",0.347231901290979,147.78808707483,137.864786363636,5.06401863952759,9.17836881623269,102.621,96.0544,183.5454,157.90115
"ZNF782",0.0466065509045608,45.0029238095238,55.3768227272727,2.13040272190518,6.26549473948772,26.7702,27.8714,58.29525,65.724075
"ZNF846",0.00485431081047616,98.9767741496599,70.5158636363636,5.02030377079019,7.17013056346509,62.2571,36.388625,117.6194,89.8534
"ZNF136",0.225581660704982,115.525785034014,103.542972727273,4.7241846039961,8.68583204862112,79.76205,63.273775,144.07515,133.4369
"ZKSCAN5",0.436935209709019,333.363214965986,317.139697727273,10.3480070371908,15.8873675802119,252.5583,253.296925,384.99665,391.687825
"ZNF33B",0.206375418958897,545.134525170068,489.909570454545,21.2022420724774,36.3021375231247,372.7505,331.2634,642.6967,680.6328
"ZNF431",0.746131766520968,47.6571931972789,45.543475,3.15266223935663,5.57074023912427,20.17215,16.446375,66.4184,58.157375
"ZNF418",0.691066936235051,44.6250306122449,47.7655,3.61478152189301,7.89811796835692,13.00685,5.9058,60.83025,69.90315
"ZNF700",0.607218258328646,252.663585034014,243.267365909091,8.40471753013209,18.0326758134596,188.5635,167.51835,289.20885,289.2177
"ZFP28",0.252410378656342,39.216625170068,48.6066181818182,3.80792476885879,7.86301591612892,11.67225,11.806925,47.3999,68.5407
"ZNF585A",0.00631465238806939,81.1511115646259,105.314120454545,3.86188933058355,9.47350440015592,52.6114,57.327375,102.3177,132.3371
"ZNF138",0.941037853210915,127.240863945578,127.935595454545,4.5785835698232,7.735943495977,88.83085,100.86035,157.12605,161.975025
"ZNF429",0.341720807221942,87.9459836734694,78.9903136363636,4.4981221017482,8.31345748946041,50.62475,39.97775,110.38,96.553625
"ZNF470",0.401717891988248,103.404627210884,115.162134090909,6.64593719139202,12.689037763293,46.3117,53.3872,140.25845,171.079875
"ZNF100",0.698057859604018,72.7556496598639,76.2128181818182,4.1503450412816,8.51077092768159,36.0408,38.3394,95.91395,94.131375
"ZNF398",0.911231334055475,327.799838095238,330.269347727273,10.2198648240935,21.6932809282848,236.072,225.049075,392.20595,400.80425
"ZNF498",0.348468936277887,316.410981632653,260.522872727273,31.9995980045397,18.5771768872445,198.8434,178.442275,309.06725,327.4293
"ZNF441",0.0099123603122595,121.853704761905,96.6098613636364,4.60145572612694,8.79956961607812,88.0903,60.644825,157.2704,107.240025
"ZNF420",0.285577261458826,79.8610904761905,89.2569522727273,3.93251230742735,9.21845662284115,46.5403,50.108425,99.59275,109.437225
"ZNF763",0.0483305040837986,45.9609666666667,34.048325,3.0335100581502,4.14302336476703,19.59915,12.06845,60.5774,44.5643
"ZNF679",0.763004679759848,3.28271700680272,2.388675,1.54604499082172,1.59317924894925,0,0,0,0
"ZNF682",0.0894390994450587,58.5640074829932,75.7562727272727,4.54917026808414,10.4084272104124,15.5418,31.75125,87.07755,100.413575
"ZNF772",0.658087626892037,79.1804823129252,83.5828159090909,4.83008363434373,8.30911260383074,37.10975,38.19035,96.5968,118.8373
"ZNF257",0.49749300018917,20.1663428571429,24.6143590909091,2.91186614408747,6.97603999326368,1.9136,2.221975,23.57275,25.187025
"ZNF785",0.985783824856182,111.77835170068,111.602095454545,4.78039206454146,8.42057036362393,71.7485,75.799125,139.87885,146.039425
"ZNF98",0.284936163028031,4.58498639455782,7.04864545454545,0.987339319384896,2.60720860530363,0,0,2.4403,4.450625
"ZNF786",0.902195874029454,145.753276870748,144.570631818182,4.72902037745001,7.66695269958972,107.28405,110.915775,175.17655,179.720025
"ZNF517",0.0971244421824522,365.232725170068,455.493252272727,22.4730386221478,64.6978653961283,173.3269,268.427825,462.20945,447.936075
"ZNF675",0.70081823444351,61.7326428571429,58.8301704545455,3.66047197928993,6.36147652650039,30.61305,25.672175,78.1415,87.94285
"ZNF860",0.657928603410722,3.84002653061224,4.45802045454545,0.701850298498543,0.990618813128276,0,0.6193,3.0496,6.2395
"ZNF695",0.109821733931622,12.0970897959184,20.9789363636364,2.65358430169328,4.84951656416066,0.23675,0.689325,4.26265,33.49965
"ZNF665",0.0533945887821032,7.21028163265306,11.2500022727273,0.904678111842541,2.30773448782912,1.1519,0.85175,8.52385,16.2006
