"gene","p-adj-pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos","count-neg","count-pos"
"ZNF17",0.525652425902202,81.9487205128205,85.8234085714286,2.4556442710814,6.78752481174767,59.45335,65.19385,99.78195,101.6876,156,35
"ZNF555",0.070057295108216,68.2916307692308,56.1803914285714,2.99516753681345,4.28449954635649,44.666025,38.8353,84.7343,71.01985,156,35
"ZNF75D",0.146230005363763,253.24121474359,289.318568571429,10.6173358755076,22.0363528393566,157.991575,187.2543,309.459975,400.22045,156,35
"ZNF197",0.24424424268138,311.299392307692,286.724568571429,9.41369909264273,14.4545553589879,228.999075,222.3615,376.091475,366.6381,156,35
"ZNF732",0.852108999545809,2.59287051282051,2.71593142857143,0.289225454174787,0.52263585777106,0.63495,0.8867,2.88915,2.76985,156,35
"ZNF546",0.602517875223574,65.790907051282,68.6569657142857,2.3436006958185,5.04417772393123,44.4022,54.9142,81.603825,78.5016,156,35
"ZNF286A",0.559307420954551,95.1914307692308,88.7510142857143,4.92882709198375,7.53908449073935,55.979325,60.9128,113.721375,113.1055,156,35
"ZKSCAN4",0.943061654923024,108.628569871795,109.324488571429,4.18440662696451,8.60957245031305,73.621075,68.363,133.559025,137.0821,156,35
"ZNF643",0.41096330494043,24.8754961538462,22.3800114285714,1.34909125200778,2.15801196488444,13.6304,13.4161,30.56445,30.895,156,35
"ZNF642",0.564911944217515,73.1683044871795,69.12726,3.00789307675058,6.25977337415808,47.8913,47.0156,94.7025,85.7901,156,35
"ZNF490",0.909073624843661,158.486548717949,160.032008571429,5.58221705135325,13.9995901473281,107.733225,113.39185,191.82965,183.69155,156,35
"ZNF626",0.181148517774814,89.5454519230769,64.8178857142857,8.42902838044744,9.86877274424308,30.23435,22.5148,102.50835,90.18705,156,35
"ZNF793",0.843459457107838,34.3894480769231,32.8478057142857,2.94822641344393,9.96704680955605,6.25875,4.74805,50.56705,36.65295,156,35
"ZNF383",0.811887494900795,64.5741544871795,63.3309571428571,2.23221496974177,4.72182900283939,46.974675,45.8827,75.7677,75.1707,156,35
"ZNF669",0.10105238426883,75.524317948718,59.4649742857143,4.35212006671077,6.80934709239648,43.282,35.9907,101.032625,77.9022,156,35
"ZNF559",0.541690489634637,164.445288461538,151.64426,8.76794281470972,20.6977346102764,96.225125,84.61615,200.846025,181.9353,156,35
"ZNF177",0.394234136513581,34.7425935897436,29.5892457142857,2.64917924208603,4.77012393586212,13.0279,9.7913,43.738125,41.8184,156,35
"ZNF548",0.258159994619766,181.915564102564,204.181151428571,7.26055368453415,26.0508426730365,117.44805,116.9544,238.029925,222.3075,156,35
"ZNF563",0.433031361672679,236.403162179487,257.704362857143,11.6528586297462,24.0419285768601,140.292375,171.24835,315.91345,299.47265,156,35
"ZNF567",0.813284192189879,75.422416025641,73.42766,3.53229305945908,8.33108212612798,48.399725,42.964,95.7674,92.776,156,35
