"gene","2-1","mean-1","mean-2","SEM-1","SEM-2","Q1-1","Q1-2","Q3-1","Q3-2"
"ZNF566",0.796802655674246,137.23,124.53836462585,NA,4.04424914101972,137.23,91.12085,137.23,150.3981
"ZNF224",0.935670423268479,143.0559,137.435797959184,NA,5.71377151532675,143.0559,82.74215,143.0559,182.31655
"ZNF529",0.782284426059498,231.2579,204.711946258503,NA,7.88166519760988,231.2579,138.566,231.2579,250.71275
"ZNF284",0.756704382801506,12.0712,15.739619047619,NA,0.971483556879496,12.0712,7.05415,12.0712,22.01115
"ZNF749",0.80895557437903,36.2135,41.358831292517,NA,1.74616915596724,36.2135,27.1238,36.2135,53.0504
"ZNF17",0.835823640084459,86.4041,80.2658115646258,NA,2.43035893673363,86.4041,58.40915,86.4041,99.52185
"ZNF555",0.65799742606128,49.5553,64.7100870748299,NA,2.80827452168909,49.5553,43.95385,49.5553,80.44365
"ZNF75D",0.395301281848395,368.183,255.081761904762,NA,10.9046805808082,368.183,158.30545,368.183,317.49655
"ZNF197",0.812292420691211,329.0978,302.104919047619,NA,9.3266239545295,329.0978,222.3615,329.0978,374.38725
"ZNF732",0.573547568262722,0.6353,2.41738639455782,NA,0.259679236380458,0.6353,0.737,0.6353,2.6858
"ZNF546",0.800937384016637,59.7205,66.7950510204082,NA,2.30221199848698,59.7205,47.28385,59.7205,81.83585
"ZNF286A",0.742809821539017,112.4524,93.3440333333333,NA,4.77767497254671,112.4524,56.5729,112.4524,111.7624
"ZKSCAN4",0.795080746369945,90.8513,104.14995170068,NA,4.20125973963204,90.8513,68.4367,90.8513,128.1592
"ZNF643",0.941347474975924,26.0483,24.7939394557823,NA,1.39896061927308,26.0483,13.4161,26.0483,31.80255
"ZNF642",0.644678219266567,55.2732,72.9891795918367,NA,3.15117887996469,55.2732,46.46885,55.2732,94.9878
"ZNF490",0.97518138826491,165.8196,163.387404761905,NA,6.41528167788023,165.8196,109.53375,165.8196,195.97175
"ZNF626",0.669007844789639,134.0534,88.8277734693878,NA,8.67815513802627,134.0534,31.898,134.0534,102.49665
"ZNF793",0.704656748869462,45.7433,32.0980156462585,NA,2.95334175236666,45.7433,5.85615,45.7433,47.03325
"ZNF383",0.602538307220179,51.4612,64.7283163265306,NA,2.08962005270479,51.4612,46.74445,51.4612,77.09065
"ZNF669",0.487952076461845,35.5781,74.4263571428571,NA,4.59248820210816,35.5781,41.7664,35.5781,100.90895
"ZNF559",0.578066468717171,102.9225,162.281534693878,NA,8.75269536532728,102.9225,95.15195,102.9225,200.94825
"ZNF177",0.69780992166106,20.9657,32.8844285714286,NA,2.51825438663225,20.9657,12.2496,20.9657,42.74445
"ZNF548",0.518893828695791,247.141,181.746508163265,NA,8.31307893575808,247.141,111.98785,247.141,232.73295
"ZNF563",0.568715689606954,153.7484,238.50358707483,NA,12.1959968414558,153.7484,141.5617,153.7484,307.9517
"ZNF567",0.673211804000646,57.8145,74.5801653061225,NA,3.26110359390434,57.8145,49.43465,57.8145,96.54395
"ZNF573",0.548142893047288,17.7891,12.9738068027211,NA,0.65755706249334,17.7891,7.3776,17.7891,16.8455
