"gene","N1-N0","NX-N0","NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX"
"ZNF267",0.77753901145287,0.983831971705316,0.758959096345688,157.600575098814,186.25335,155.969409649123,5.34027319879521,63.4785715917913,7.5578213423834,103.7657,126.132325,103.773975,189.5339,201.557825,182.85975
"ZNF566",0.951091593358816,0.943278002258919,0.92696012896762,128.18834743083,136.4478,126.193183333333,3.45487182869779,22.6154193484224,4.9792634006272,93.8082,112.1534,91.939225,151.4992,170.63795,150.168325
"ZNF224",0.00525527938810511,0.955858217607431,0.00707727257269442,147.22557944664,277.835675,149.894133333333,5.08408941072183,92.4374554242613,7.70036213186493,88.4988,141.193025,96.005575,189.7198,395.4766,193.352125
"ZNF529",0.0290720448580545,0.378837572545199,0.013472337363872,221.406458498024,377.134275,203.292929824561,7.75800751467634,104.979562452543,10.3736987905792,140.8701,251.518475,130.006325,259.1645,489.81285,247.595275
"ZNF284",0.323172832511346,0.987668518346588,0.313257024162648,18.1328391304348,30.336875,17.8475587719298,0.972437219882795,10.0543239598174,1.82850396678837,6.9071,18.6564,7.42265,25.2871,35.626075,20.496025
"ZNF749",0.431940463920512,0.227598286158433,0.250863642448509,45.8364407114625,59.934575,41.6374096491228,1.34936540151584,19.9074279661041,2.28544461456741,28.3401,36.196725,26.376825,59.2941,72.17265,52.155025
"ZNF17",0.589886812693414,0.88815963501965,0.660778714317102,80.4795458498024,95.6963,82.0920131578947,1.84215007978033,16.539640451352,3.17222504707643,60.2549,85.03545,63.28475,97.2938,115.05575,95.530825
"ZNF555",0.305772317790289,0.298969903726574,0.175237060570228,68.1731031620553,92.767825,62.6153219298246,2.14460940146255,8.66743984464992,2.93005430938028,45.5154,83.4845,43.428925,83.1412,105.224425,71.696225
"ZNF75D",0.827521927956014,0.549202269959032,0.93499915727965,257.873738339921,295.330025,272.810915789474,7.56202334129794,54.2148827741112,13.1632099531817,170.0419,280.977025,188.369225,313.1601,349.77545,327.986025
"ZNF197",0.772815395261658,0.705827950364461,0.669405380117753,308.994626482213,346.256075,299.294189473684,6.37249441713134,73.4039096550083,11.2940322214634,236.6766,265.911725,212.100625,371.3857,361.04925,368.526025
"ZNF732",0.262618434864516,0.756996125575227,0.346288841587566,2.47263992094862,4.952475,2.72507105263158,0.186148441931288,0.952877622760831,0.332335532462024,0.7491,3.84025,0.867475,2.9268,5.966825,2.972225
"ZNF546",0.964664211929057,0.886041963020486,0.932173605635378,68.6171830039526,72.7223,66.9315403508772,2.03323781628791,24.0909057467059,2.83614665390239,48.4669,40.14995,48.135975,80.7453,95.25485,82.70885
"ZNF286A",0.616198428034896,0.0584264839908195,0.322639747247175,97.7546723320158,124.73285,83.020198245614,3.85791159931707,35.6256912127681,4.25288807956284,57.3394,83.668575,56.1728,122.9135,148.681425,102.976825
"ZKSCAN4",0.999915860101515,0.857035965714664,0.990783160814666,104.690586166008,104.38335,107.63686754386,3.07064945705879,10.4813930277659,4.77555150244682,73.1473,93.71995,65.021325,128.0763,118.9701,139.5798
"ZNF643",0.995722961484938,0.999707770155598,0.996277913094398,23.5625292490119,24.294275,23.605300877193,1.01699942537425,1.73786732873705,1.62039502202834,13.0268,21.9279,12.29285,28.4131,27.097925,28.460825
"ZNF642",0.949199928110353,0.731558606764723,0.989624109216593,74.6497648221344,80.51695,77.8682754385965,2.3942608168013,16.4553167071973,3.50878897248097,49.2891,61.013725,52.257125,96.7912,94.252825,97.316575
