"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"ZNF75A",0.921940395473089,0.852698522881776,0.653335935616684,298.246121794872,289.037785,310.521676388889,16.3233327511348,20.0095955981148,14.1073475472962,193.882725,183.275125,206.800625,380.8514,347.897575,382.94385,78,60,72
"ZNF496",0.839092210365468,0.604371036601061,0.937966240970679,270.178329487179,283.041056666667,290.948279166667,11.3404161856277,19.8242670589609,17.0200909023678,220.33005,169.7085,195.05455,298.896675,349.798925,337.35085,78,60,72
"ZNF2",0.392594449502902,0.175068723863724,0.91955457530113,122.523143589744,114.46833,112.021615277778,3.58210266304072,4.2932917705273,4.9270267533468,102.543825,88.512725,89.978075,138.95805,131.91965,123.6248,78,60,72
"ZNF589",0.00114532565613301,2.05617184848572e-05,0.718699616353307,277.278537179487,205.351505,189.596697222222,16.8371353563612,12.531074421824,10.2791310410058,180.556675,145.933575,130.6371,352.270825,247.76045,230.9669,78,60,72
"PRDM9",0.474324633701995,0.13591673650056,0.793856895064498,0.0357307692307692,1.40191,2.17389583333333,0.0180948180037008,0.697184096535185,1.24315393985877,0,0,0,0,0,0,78,60,72
"ZNF12",0.0434581024418241,0.520546607567069,0.00236764449827065,775.120085897436,670.944685,819.890791666667,26.9141527566747,28.2817816590168,33.8639337266296,628.025275,534.043025,598.450625,874.238675,791.830775,975.575025,78,60,72
"ZNF202",0.241312889528298,0.850525127156228,0.527463572816259,228.705258974359,251.504063333333,235.988263888889,7.23439091083421,13.0626791555271,9.6852569061347,183.7904,188.289025,184.380175,279.37715,313.453925,274.838775,78,60,72
"ZNF3",0.0432074191659519,0.504998133390225,0.378813733792453,678.632458974359,831.520878333333,745.792083333333,18.645162077246,67.2607265319073,44.0954245812004,552.4043,603.310875,535.031375,815.068875,886.27285,819.5993,78,60,72
"ZNF606",0.377527296252301,0.989470220531277,0.465408623837957,255.024171794872,231.594328333333,252.709258333333,10.2091487526924,14.8397457419479,12.171450852067,198.1533,144.2136,178.52005,308.793625,293.724575,294.747075,78,60,72
"ZNF91",0.276374231984109,0.00286484623989058,0.242757807662322,371.140685897436,328.392441666667,282.710006944444,16.7435444262675,27.1660961932292,14.9532445558062,254.9784,183.045725,190.72285,443.726025,406.059125,338.09235,78,60,72
