"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","IQRhealthy","IQRtumor","SEhealthy","SEtumor"
"ZNF91",1876.49899273031,1161.30509313271,2147.40577288092,1.84913145182902,0.886847787295328,1.97801094626651e-12,3.35272855392173e-11,1318,1908.5,478,1513,77.8738056088182,160.647738929525
"ZNF226",860.709134309429,703.538502734356,920.243464451501,1.30802146701979,0.387386218289249,0.00164767439914707,0.00500637882578686,792,869,180,483.5,31.0561856425844,41.77527984098
"ZNF229",456.238561046102,461.263113370817,454.335321529164,0.984980824087523,-0.0218324568799001,0.965390761054957,0.982785189182073,526,489,182,376.25,30.0260486910949,31.0786518730501
"ZNF180",423.72515904914,392.042909597421,435.726011114185,1.11142428659562,0.152409671195746,0.19938193583456,0.307229437490527,443,463,160,291.75,25.7534463713112,24.4346709994865
"ZNF641",351.257589466768,507.576679503655,292.045812937644,0.575372795344395,-0.797431085401359,2.29932687935971e-07,1.81272514442545e-06,559,298,220,250,31.508623158325,23.1425040280677
"ZNF610",317.995965216588,265.422503528137,337.910155250092,1.27310288599652,0.348349015562106,0.0245105763825464,0.050665154839532,284,345,101,234.5,22.2228501022409,21.9200271254052
"ZNF528",702.296336195928,707.406466064934,700.360680942517,0.990039976363787,-0.0144413146068491,0.725834500057887,0.809400972104025,792,688,244,499.25,44.4696120963518,42.4987223754544
"ZNF701",375.624905292274,342.834476023943,388.04552243937,1.1318742704636,0.178713711303426,0.259354973700608,0.366012300502062,353,372,198,253.25,34.202547663393,22.3225043565624
"ZNF283",101.687254338285,93.1136253187046,104.934841088127,1.12695473652713,0.172429571677639,0.276289326404485,0.383860990373444,108,115.5,47,94.75,6.85873652115801,7.02799299923037
"ZNF558",829.309560240736,792.272603961784,843.338710346399,1.06445522176238,0.0901152614857246,0.680130639251434,0.763457903000782,925,802,244,482,51.2079590168039,41.633641881636
"ZNF597",94.6346983920672,124.600419305027,83.2840465310978,0.668409039035537,-0.581196851488907,0.0076543145846579,0.0190514693954283,120,83,70,59,10.5468289073067,5.36745317424711
"ZNF30",124.676355779516,172.840158184777,106.432491232069,0.615785662023557,-0.699499818878988,6.78991508096657e-05,0.000306904161659689,204,87,91,61.5,12.5007093132083,8.71047435534316
"ZNF354A",467.999149709045,545.802558557562,438.528161508849,0.803455672079999,-0.315709664558223,0.0624901151009945,0.116742282290778,616,356.5,156,207.75,23.6322181213134,32.3347029047362
"ZNF764",441.152648841298,424.114188725513,447.606611006368,1.05539173860571,0.0777785955612093,0.923010650093974,0.953965275554442,488,419.5,133,177,23.6472352154186,16.9022386505252
