"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF189",0.839278960091698,0.689514970501473,0.950163720807001,288.01468056872,309.999863636364,298.126214832536,7.65830968936155,45.0814250942897,9.5635498974398,212.86455,195.7432,214.8948,334.11095,387.4527,360.7843,211,11,209
"ZNF434",0.952783675778084,2.52658486161739e-05,0.498728423131882,286.337221800948,278.269972727273,247.606382296651,6.41031325961954,28.1119224414356,5.69676405094881,221.8027,205.27665,190.6623,344.9273,332.02575,296.8026,211,11,209
"ZNF287",0.854711057949074,0.350482148250508,0.994792966211505,111.489502369668,101.3363,103.187382296651,4.2999779496142,11.9102010076924,4.24538409108102,70.8392,89.0613,60.8108,142.37705,123.4315,133.05,211,11,209
"ZIM3",0.827643533300304,0.401003324463411,0.982553285871195,0.0943644549763033,0,0.0287751196172249,0.0500472173990139,0,0.010732749563826,0,0,0,0,0,0,211,11,209
"ZFP14",0.86193391420843,0.000352262421791316,0.760386256772938,213.141126540284,192.485718181818,164.421833971292,10.3593610438735,29.1675984219844,7.16057672213296,125.4333,139.449,90.2282,260.3148,243.6197,211.5666,211,11,209
"ZNF473",0.882495643239559,0.798149262319405,0.776370027920933,302.628243127962,325.082727272727,293.109364593301,11.8805994070331,28.7977691449595,9.09735466641066,206.25105,242.6714,205.2632,354.08265,370.1834,355.0926,211,11,209
"ZNF614",0.468306876519037,0.00283581783465059,0.990851592210041,319.988625592417,227.293109090909,237.474766028708,23.0869494962953,42.4758411157415,9.58839717805917,167.2508,145.49535,140.7538,354.1449,279.955,294.0058,211,11,209
"POGK",0.94589604750392,0.32774621283233,0.722931960919114,2806.23501800948,3009.40106363636,2518.20455645933,142.522440773194,878.048879056548,139.44050155118,1659.96835,1689.046,1324.2286,3287.76535,3054.78955,3160.1708,211,11,209
"ZNF514",0.662044091189644,0.114731963342985,0.294290308891756,279.982377725119,321.881654545455,249.529383732057,11.2867453388913,59.3393520259706,10.1093016961704,161.817,246.25435,143.9236,346.6544,348.8633,326.7717,211,11,209
"ZNF300",0.874291516983072,0.0302575485026091,0.948676010748677,238.118321327014,199.391718181818,175.139385167464,19.7366937920551,78.4274038773575,14.8461179105906,55.6742,35.50465,33.5899,308.5374,226.52665,213.7733,211,11,209
"RBAK",0.935031530638639,0.00399462777104587,0.783699072753828,498.385236966825,478.826709090909,441.542394736842,12.5508476674547,71.0816206088113,12.2348251185764,376.3776,337.4832,307.1962,588.8909,469.71205,518.3264,211,11,209
"ZNF92",0.994955143659046,0.024084667173042,0.624796939486771,262.837945971564,267.3778,223.52535645933,11.6946836900427,42.5706742884006,9.34168301720563,151.2131,169.64415,133.3055,315.1279,314.8742,285.0603,211,11,209
"ZNF157",0.992485378332536,0.06249369052459,0.822112851016206,1.96014454976303,1.84725454545455,1.27150813397129,0.262515719345835,0.805091337264812,0.154899271038027,0,0,0,2.21185,2.8307,1.5169,211,11,209
"ZNF182",0.74460243864535,0.000410639546588598,0.880551436219184,199.614393838863,179.006572727273,165.475716746411,7.02957724110763,32.3168073632988,5.34465239337613,134.6382,93.90335,112.0247,235.8979,225.05425,209.3026,211,11,209
"ZNF673",0.928322136034828,0.193392230228962,0.98228973273141,205.890109004739,215.942072727273,220.869383732057,5.60501545771785,33.2800448459299,6.49895994708382,151.2611,156.71555,166.318,239.51395,239.38395,254.3689,211,11,209
"ZNF41",0.734564474159133,6.41223246220513e-05,0.816660077791159,247.059498578199,221.926927272727,201.5643,8.15740649573144,33.7536774274047,6.72854771630905,170.30315,142.88845,124.2143,310.809,292.19995,259.9086,211,11,209
"ZNF7",0.738632831418636,0.899445245458269,0.653126527558523,504.685605687204,544.937836363636,497.177759330144,12.1437161921999,44.6050215388322,12.14884346513,395.4253,441.1962,384.6395,579.96625,629.75375,596.5388,211,11,209
"ZNF214",0.961363202500425,0.0596790247250893,0.585692503627618,35.0686289099526,37.3227454545455,29.0024889952153,2.05044280024033,8.21907239662574,1.69112085244034,15.172,15.74765,10.3306,47.61985,50.6995,40.5498,211,11,209
"ZNF215",0.612740994556377,0.117893059567576,0.945625715168754,59.952409478673,43.5755727272727,49.1024181818182,4.69319846692481,10.0218901854989,2.87674192743561,13.29635,16.9692,15.1762,81.51325,58.16495,73.5728,211,11,209
"ZNF547",0.996173095256082,0.000666344212993164,0.521173745409315,64.0657800947867,62.9474727272727,48.3357248803828,3.35935773500711,10.6245788876898,2.59253358334396,31.66135,38.53485,27.5115,84.57535,90.38375,58.8889,211,11,209
"ZNF773",0.783252711779082,0.32479728844426,0.975094152853989,117.103567772512,104.542027272727,108.576381818182,4.45986673784524,16.0709958568737,3.95880294755692,81.2377,60.6477,70.2754,139.45985,151.5811,132.6316,211,11,209
"ZNF776",0.669658646657749,0.00822243871845851,0.995512558671567,377.630321800948,332.101645454545,327.284607177033,11.2786187760495,60.901531031981,12.3933806388093,265.542,169.01115,216.2401,456.553,476.3951,400.2964,211,11,209
"ZNF256",0.804989483432861,0.9493804995767,0.749171151762999,127.917761137441,140.544172727273,125.96904354067,4.49101570321464,27.3343559498934,4.38214298263945,89.51035,67.04355,81.4696,165.14345,187.83145,158.2688,211,11,209
"ZNF599",0.867107990101356,0.90327740647151,0.795735695273048,84.379355450237,92.6378272727273,82.1785373205742,4.10746072955186,15.2726222005027,3.05504789755475,53.24655,65.1961,52.5855,102.90465,118.00315,101.7182,211,11,209
"ZNF18",0.808064265454625,0.0558053274255388,0.993822094933362,198.575000473934,182.781872727273,180.089834449761,6.24456641003744,14.0554328497307,5.10739287652509,136.88645,159.3596,136.6761,244.02505,209.50515,212.7981,211,11,209
"ZKSCAN2",0.340062131818527,0.0139065282376389,0.0579089682106324,166.507400473934,220.459863636364,132.299122488038,11.0508114423268,42.2558266590242,4.81170085388699,108.2192,138.7853,90.9086,171.1375,257.2373,157.3987,211,11,209
"ZNF689",0.99894105373121,0.197001804426885,0.82661213614974,106.825526540284,107.679772727273,96.2182114832536,4.99383597785198,17.3187098857176,3.59282330295151,62.8136,66.3886,61.7223,124.6281,148.06325,120.8246,211,11,209
"ZNF19",0.202050601885612,0.0258858006864207,0.0313380287670834,54.7553872037915,70.3030181818182,47.2953698564593,1.97520615910202,15.8691998622708,1.97009073179438,34.4715,32.50005,30.4073,69.01885,85.0217,56.7776,211,11,209
"ZNF230",0.970007886237743,0.0369559039226055,0.849498113638135,118.092299052133,114.038745454545,104.65113492823,4.05431329298685,17.6786665479681,3.61542214509097,76.86435,78.1645,72.9952,147.68965,141.1336,126.7773,211,11,209
"ZNF222",0.859570449344108,0.660296577960415,0.966152283284024,95.5385312796209,84.4985818181818,89.7642578947368,4.43144679239311,15.423447828708,5.00476565674707,52.20235,54.09355,47.1058,125.74345,123.61235,102.8027,211,11,209
"ZNF221",0.482118947800406,0.133882121306895,0.848326692355368,16.5751658767773,12.1206363636364,14.2326220095694,0.817775032334222,3.33365924209617,0.90930887899998,8.85995,4.5819,6.3039,19.87995,16.12855,17.4782,211,11,209
"ZNF233",0.814627561118963,0.842190202335135,0.711703704373074,30.5607644549763,35.3602909090909,29.1747421052632,1.79440685859039,7.20367091320245,1.71895733462516,12.8178,21.2384,12.1848,37.19075,37.9981,40.8003,211,11,209
"ZNF235",0.988448845442138,0.359927132593396,0.956007711909118,71.2953142180095,69.7299363636364,66.6485325358852,2.57022760783217,6.58610444831006,2.26384945959914,47.014,57.21705,45.8844,85.84935,80.6312,81.1785,211,11,209
"ZNF208",0.998909151899765,0.0704703078270622,0.738631048220124,99.5654336492891,102.367545454545,55.6282464114833,17.1331808644147,73.0258650937888,9.77541664325929,2.3943,4.5575,3.8594,57.5462,55.17195,33.2397,211,11,209
"ZNF714",0.607028097444111,0.0155457695147547,0.996892019826116,213.255931279621,166.376172727273,170.07338277512,11.7756900548417,49.2999503641426,10.0794232354171,108.30185,68.20285,76.3521,253.5013,150.93305,216.6964,211,11,209
