"gene","p-adj-cluster 2-cluster 1","p-adj-cluster 3-cluster 1","p-adj-cluster 3-cluster 2","p-adj-cluster 4-cluster 1","p-adj-cluster 4-cluster 2","p-adj-cluster 4-cluster 3","mean-cluster 1","mean-cluster 2","mean-cluster 3","mean-cluster 4","SEM-cluster 1","SEM-cluster 2","SEM-cluster 3","SEM-cluster 4","Q1-cluster 1","Q1-cluster 2","Q1-cluster 3","Q1-cluster 4","Q3-cluster 1","Q3-cluster 2","Q3-cluster 3","Q3-cluster 4","count-cluster 1","count-cluster 2","count-cluster 3","count-cluster 4"
"ZNF19",0.498019843488809,0.335840287857036,0.993395266157847,0.0228323762563157,0.343477826747164,0.460731368239314,36.9946,48.6410029411765,50.5786435897436,61.6446966666667,2.72170112174114,3.75355518365306,4.70088975831404,8.71539344911282,27.846875,35.81675,36.9878,33.262,43.655,65.22825,63.2915,67.328475,24,34,39,30
"ZNF230",0.64014280207477,0.00387567346969286,0.0645115596057266,0.00127284047726783,0.0226593739137364,0.939847545175744,79.2928625,97.5478794117647,131.595948717949,139.671113333333,5.68846697910009,7.61507927942456,10.6063205243315,13.7303261582132,60.0936,70.978975,81.5134,87.479725,89.437325,109.002875,170.9364,165.33835,24,34,39,30
"ZNF222",0.933589177236281,0.0118351557299335,0.0317682724011525,0.00227267393542707,0.0059991849011477,0.870685367092543,51.6187916666667,62.85175,109.041074358974,122.18304,4.19146986034471,6.94567129948857,13.4507739927502,18.1304981396633,41.128275,38.815575,53.4263,64.04735,62.23265,72.34015,132.3819,141.2319,24,34,39,30
"ZNF221",0.984577493477891,0.180646609272707,0.256415050936448,0.0743858968864183,0.105186134003676,0.937750305178024,13.2606833333333,14.5149823529412,20.2573820512821,22.12525,1.37842546272632,1.17149534314489,2.21108930661035,3.67563150440549,8.132975,10.175475,9.93435,13.03045,15.94525,17.1341,26.1634,26.419425,24,34,39,30
"ZNF233",0.802210376858919,0.0765034435696001,0.349201597442379,0.142144353831287,0.506909486694604,0.998289188702657,17.1051291666667,24.2426764705882,35.7666,34.5558933333333,3.14597421572902,3.3515995964921,5.07044822778364,7.6920358835989,8.1566,9.87115,13.56535,13.453225,18.53185,32.948625,38.7928,38.379525,24,34,39,30
"ZNF235",0.946219548947605,0.270281054976243,0.512064097137574,0.0299604181074614,0.0690914012849839,0.618420588050749,55.0437916666667,60.2494441176471,71.7604871794872,82.22518,4.32398024002425,5.16260599049944,6.25767085677705,8.05221868727417,40.168775,40.9802,44.20855,52.147275,65.55435,71.808925,82.5781,93.49355,24,34,39,30
"ZNF208",0.869097739989493,0.0665413571015655,0.00235846550943386,0.998772300959895,0.760341480011535,0.0665319319706089,50.878975,17.5787117647059,156.042671794872,57.60184,16.251083761359,5.07917841895013,39.9133744813602,28.8702741327933,6.139925,4.47145,3.9285,0.635125,49.826525,16.388625,268.6435,11.123525,24,34,39,30
"ZNF714",0.746045059852894,0.124193791471355,0.559227162265347,0.0243697466485087,0.168449347967012,0.819433386683595,150.017679166667,190.611402941176,237.071335897436,269.104643333333,19.6299597219292,20.4568458997845,26.9269895148487,34.8945687553962,85.5087,113.5351,116.09185,145.93835,186.73365,236.728825,360.29025,373.68065,24,34,39,30
"ZNF394",0.991276752044172,0.0717893399878182,0.0851346112435749,0.372468390790441,0.46615933017792,0.853517390004913,424.529779166667,434.462188235294,505.846787179487,481.022766666667,25.0101357900152,18.7452905862919,18.9091497198765,28.9746896906944,343.88185,368.986675,431.16155,380.110575,493.19105,491.44795,556.5119,555.809975,24,34,39,30
"ZNF333",0.992896426020006,0.416435912299868,0.505401223485279,0.0530867569960667,0.0600194198906837,0.587322517251124,131.645720833333,138.735564705882,170.664158974359,200.63226,11.0840011293681,11.70932321359,15.3870820662164,26.2452338613185,88.70685,95.4734,103.1205,115.4706,162.052625,163.2909,212.81175,242.548525,24,34,39,30
