"gene","p-adj-Low Grade-High Grade","mean-High Grade","mean-Low Grade","SEM-High Grade","SEM-Low Grade","Q1-High Grade","Q1-Low Grade","Q3-High Grade","Q3-Low Grade","count-High Grade","count-Low Grade"
"ZNF562",0.773585356067139,555.00675,574.38733,16.207439146879,52.5645449928357,352.44895,431.796575,685.102475,608.582975,332,20
"ZNF561",2.92337453022817e-07,861.96594126506,1395.411235,24.5023944270046,84.4450293527422,548.049625,1156.74605,1070.3217,1513.1262,332,20
"ZNF584",0.755616846128169,199.597532831325,192.918765,5.21563054930877,11.0008701225625,145.060075,162.287375,233.9157,219.98225,332,20
"ZNF274",0.83725101279823,464.271730722892,475.589135,12.8986660682753,67.4492114857961,313.288425,339.019075,588.8734,511.23225,332,20
"ZIK1",0.633958907630663,98.8174057228916,88.387545,5.296052175529,14.496796316732,23.18475,43.0175,139.39135,138.95545,332,20
"ZNF540",0.000943980197623095,36.4048993975904,65.07692,1.94031724715615,13.9773025562491,14.10225,22.693175,45.41115,82.951025,332,20
"ZNF570",0.0306080049511324,49.0529665662651,30.59967,2.06680245506261,4.47554419269234,26.612575,18.941225,59.672775,33.57625,332,20
"ZNF57",0.00418378937187613,129.433604518072,165.601775,2.99686059231766,11.7217349747648,89.0393,135.2896,153.771975,172.881575,332,20
"ZNF556",0.0432374839001196,12.7022075301205,2.92124,1.17914978519606,1.3220892106893,0,0,17.23685,2.788775,332,20
"ZNF554",0.000646946827341344,113.002823795181,166.4082,3.53379746395362,23.8953085684749,69.86025,126.46255,137.168125,168.10375,332,20
"ZNF738",0.766550423532255,322.142052409639,303.36792,15.3973006569043,28.433855003133,140.46885,234.1858,412.77045,355.4365,332,20
"ZNF596",0.000154545999803024,41.3008427710843,68.0449,1.59591332599228,10.6128067954687,21.71455,44.274925,52.077425,80.614475,332,20
"ZNF621",0.0327760829724781,524.6521,649.68797,13.7339230196035,67.6932071018504,356.39645,412.331925,653.386625,827.32785,332,20
"ZNF680",0.153033838330083,260.17092439759,207.48363,8.95235129344423,18.5110498812112,153.4182,148.642275,333.6218,246.694475,332,20
"ZNF483",0.00140117877704471,8.5634343373494,16.45517,0.51051015133908,5.38358943863615,3.3463,2.719,10.338175,15.69365,332,20
"ZNF417",0.943724437317221,124.973994277108,123.841285,3.81611004564425,15.9967375723438,80.42275,74.903675,152.818725,167.405725,332,20
"ZNF791",0.995438185575318,146.786083433735,146.8782,3.7694829722092,19.8635531226614,96.8965,73.73205,192.4894,195.816275,332,20
"ZNF519",0.0513895221133961,57.0148253012048,38.188415,2.34697766795849,4.29118332826172,28.19035,24.855775,70.206175,48.064175,332,20
"ZNF25",0.801258198140232,164.711085240964,160.03339,4.44099642995563,16.947892400988,112.78915,106.35275,199.022525,189.348,332,20
"ZNF77",0.640554000620509,98.3550536144578,103.98378,2.90243725381978,9.18123540082992,61.272725,81.340775,124.77225,120.162425,332,20
"ZNF169",0.252839989726029,57.6372310240964,66.05891,1.73452521384986,8.32354496537857,36.0769,37.80475,71.080475,88.28625,332,20
