"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF708",0.622399655698726,0.278914538176165,0.0480046123166349,0.339415115755567,0.170271614554172,0.952410128749119
"ZNF721",0.987646461876,0.999710472872302,0.237905493874607,0.999991463379495,0.545716726423353,0.947924127882259
"ZNF662",0.992491166845656,0.999971340403887,0.4818169750436,0.998568081843331,0.952828361872012,0.803094149168488
"ZNF320",0.311506235726471,0.114051270654589,0.10219953124042,0.156069253321737,0.360369283552479,0.917340415868779
"ZNF530",0.772202045575819,0.696695210561876,0.941028355024462,0.821776718069184,0.976568368580829,0.75611811806745
"ZFP1",0.893267910770458,0.909503638900022,0.997476048113882,0.855491970481234,0.980141726883822,0.936235647610066
"KRBA2",0.931887848217841,0.847982491602144,0.779105780365992,0.933405472489921,0.999995995189966,0.764070443505293
"ZNF93",0.271050401966675,0.302050516818216,0.991693562089569,0.284357390230753,0.999313035594269,0.998454559842154
"ZFP90",0.941173786193019,0.91500549978789,0.983446291426121,0.895796505476624,0.934804845241358,0.995561154587882
"ZNF479",0.999884999224921,0.999437563351413,0.996595135860596,0.950623201127683,0.169319511751459,0.242711669197633
"ZNF445",0.992999047982019,0.988997023166935,0.997147385196189,0.999611753479539,0.878632790511117,0.774331363874216
"ZNF74",0.732280080373033,0.671782134473946,0.971382489137002,0.59697722007744,0.771061224485141,0.951235994195651
"ZNF829",0.99999953490416,0.990534907196641,0.508295354838009,0.999998800619856,0.999997954132603,0.493054304914707
"ZNF267",0.955190483319031,0.777457706491833,0.216581844935361,0.905793762070642,0.893375081408387,0.613200553924335
"ZNF566",0.999948641964074,0.991801674452208,0.434122372638317,0.999804940337353,0.934732797789023,0.796641302890353
"ZNF224",0.705343503238747,0.508183256887322,0.507129260047742,0.505858747265546,0.502529522677548,0.999997458436959
"ZNF529",0.99971212415271,0.987774435227078,0.240833409715033,0.992118027501404,0.34765133179194,0.99700814173031
"ZNF284",0.999996531657018,0.999977295752714,0.99295810018926,0.995908190844664,0.693968623305517,0.83819953571549
"ZNF749",0.518701967179322,0.46174213519019,0.977890014371587,0.617588149985056,0.901929181105764,0.689388821034546
"ZNF17",0.766917002266496,0.592107846913869,0.583326973734702,0.798481500663496,0.994188733067018,0.418976390806485
"ZNF555",0.689327152694581,0.54090345658151,0.724932216516737,0.750136189332842,0.969448123466136,0.436682812449671
"ZNF75D",0.999887144354864,0.987073649910583,0.635868827684306,0.976232322188892,0.424877756630068,0.98515165030896
"ZNF197",0.552416220092526,0.561868649282487,0.999877664166309,0.50915038902936,0.990592414584862,0.982110296171275
"ZNF732",0.766038191966208,0.569884698503497,0.489534647066527,0.760770705378078,0.999976844913161,0.510994623566872
"ZNF546",0.722497254373804,0.862434987343127,0.642353247888131,0.84395883781027,0.755790137386557,0.997942353525452
