"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","count-N0","count-N1","count-NX"
"ZNF681",0.988681647467409,0.695872976738584,0.990119294756714,75.3805138075314,74.0666875,72.8449971223022,2.39094674901779,10.5278092220829,2.01503274288427,52.34665,48.855275,49.31425,92.41865,90.213375,90.67375,239,16,278
"ZNF766",0.576628704084639,0.671861928537175,0.397454060907314,372.309978242678,348.54890625,379.20552733813,6.07177702964522,13.4964937796435,5.51102188663351,311.11105,316.5811,320.1001,425.9667,377.9808,426.382775,239,16,278
"ZNF471",0.0642668726666769,0.958440480626526,0.0496170207171557,145.539219246862,68.25176875,148.798050719424,8.93868864869617,17.8826038688039,7.8714835201028,39.58045,22.268925,44.352275,198.1526,90.40595,210.49475,239,16,278
"ZNF836",0.00604427576741406,0.787223207746512,0.00271021217991707,152.888071548117,103.6794625,156.479012589928,4.00321628755967,9.69473496765931,3.75730911683523,110.43725,72.4089,111.588775,193.978,127.887775,196.069575,239,16,278
"ZNF493",0.474042116236621,0.489041718920672,0.715730806893569,232.257481171548,191.341925,218.57683705036,8.91922107394192,23.65018236116,8.1591323532921,144.57925,122.278875,143.533525,280.38165,246.9519,246.86175,239,16,278
"ZNF167",0.896051271673807,0.192473023302623,0.98805845777583,59.0815853556485,56.06813125,55.0758402877698,1.89783349333314,4.5026470911909,1.407590383309,38.28075,42.1295,38.527375,73.0365,64.063525,66.845825,239,16,278
"ZNF565",0.205335069157525,0.905057421589815,0.262409020524525,59.6571644351464,68.08308125,60.376678057554,1.31477556723162,8.00083198851438,1.02611332245323,45.88715,46.6523,50.18965,70.35215,72.81345,69.20925,239,16,278
"ZNF34",0.525528854733448,0.462602707106588,0.294787963769501,130.573714225941,117.45674375,135.480236690647,3.13162650618266,10.2852366517052,2.75473928341353,96.35,93.926025,104.909775,154.5589,135.45815,160.2318,239,16,278
"ZNF140",0.943177004554767,0.918538615012213,0.889064442893027,425.034424686192,415.21798125,429.076024100719,7.55523781090458,29.4173540389954,6.98841043634316,357.41855,324.429325,357.49785,477.398,484.06525,489.722475,239,16,278
"ZNF658",0.0444895008273843,0.479052471427502,0.0144429904008788,61.127689539749,45.818175,63.6542924460432,1.57038917474967,4.6205480808152,1.52452864800632,45.2553,32.31485,45.115625,75.05785,56.119975,77.928875,239,16,278
"ZNF765",0.157468256140645,0.619708753273266,0.278296957430403,210.163084100418,174.4680875,203.982969064748,4.92357187037998,14.4944941061393,4.50077236502573,168.8456,136.56375,160.650575,232.84295,198.772375,233.650125,239,16,278
"ZNF124",0.987810720440929,0.280716467123439,0.926235167316971,80.4719351464435,79.03200625,75.4479629496403,2.65001519001621,8.13972705500349,2.05563790502143,54.8993,57.9977,51.12135,99.429,93.90725,94.352325,239,16,278
"ZNF569",0.121562131265612,0.883268183201659,0.166463665424151,164.64309958159,129.85751875,161.775085971223,5.1216844805555,11.9761078627554,3.5311642234087,123.10995,110.449475,132.234675,193.44625,158.950225,193.401425,239,16,278
"ZNF777",0.133097476197337,0.881186218399358,0.091558572977756,320.361218410042,365.8106625,316.493470503597,6.36694104030759,19.8316991994464,5.14424551248127,261.64225,319.78855,255.4553,362.68095,411.86905,364.528925,239,16,278
"ZNF605",0.107452467051555,0.801577844351036,0.0639233671947298,426.908379916318,501.26593125,418.954813309353,10.045087109093,40.4084355253297,7.72516130764735,314.1204,371.9004,324.5922,509.9321,574.0734,495.0043,239,16,278
"ZNF799",0.92313799254898,0.763830986870391,0.988850114140185,158.497407112971,163.46314375,161.612391007194,3.30415801866224,24.9811313885366,2.74358254081268,122.59525,123.03465,128.510075,183.4674,163.48345,187.5495,239,16,278
"ZNF782",0.00461238367624106,0.977665652865874,0.00553259151505903,78.1085033472803,54.54964375,77.5943622302158,1.95703634712477,4.93477235510049,1.67370683389536,54.8695,44.763025,58.1941,97.62445,70.196775,92.88615,239,16,278
"ZNF846",0.0264095555767443,0.654611187886874,0.0562048037564558,75.7547945606695,51.86920625,72.9928532374101,2.44186550516713,7.26581210983712,2.04678203038874,49.1194,26.200325,47.190825,95.4295,69.5973,93.874525,239,16,278
"ZNF136",0.0414493574121771,0.978065359379785,0.0480787392878854,248.882425941423,203.86949375,247.610049640288,5.0595163985675,16.2366599565086,3.98263465941784,201.12285,149.126175,201.08,286.48545,224.929,282.95715,239,16,278
"ZKSCAN5",0.429581308978394,0.568790489674705,0.249054726546592,376.89499832636,404.52168125,369.189203597122,5.39502048923748,33.2080164731164,5.12036151324732,325.5635,319.505125,315.698325,413.96075,435.32375,408.9972,239,16,278
"ZNF33B",0.05978137439749,0.903738308295357,0.0402582981966034,1403.96024769874,1059.77204375,1426.08022410072,39.7088277681383,105.948692740543,34.0050036799764,1035.4114,658.5468,1045.77605,1698.1089,1238.908625,1756.328525,239,16,278
"ZNF431",0.816498269346841,0.37988390557792,0.987082070320807,133.52759665272,118.3978625,122.210476978417,6.82911259492173,11.1851298836889,5.41645192123235,84.06925,89.376275,80.58395,147.39235,141.118825,140.760475,239,16,278
"ZNF418",0.243778073510592,0.999205226140597,0.246299875941375,78.3453305439331,55.169075,78.1581762589928,3.84028688248349,10.6599098001207,3.19923751297325,36.3732,25.330625,36.14165,108.02165,77.219325,104.545525,239,16,278
"ZNF700",0.664539730935822,0.605025346382998,0.457377902396305,348.619234309623,383.070725,335.566052158273,10.248009681548,67.2271692618428,8.55703109183321,230.4623,215.00735,231.8662,430.14565,465.1097,397.1486,239,16,278
"ZFP28",0.0773694460169215,0.825859546444847,0.0461948591676274,115.649263179916,76.129475,119.316427697842,4.61785573134459,10.3388574421592,4.26070082655436,63.4233,51.146325,69.33135,150.2918,111.86005,148.70365,239,16,278
