"gene","WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR"
"ZNF529",0.522745278501987,302.232880936455,287.527940776699,11.9690364753811,18.0659028633452,185.00315,175.0002,347.03455,344.72485
"ZNF284",0.136019460642396,42.8543060200669,47.1490291262136,1.46451835784628,2.4330474783507,26.98425,28.7068,51.5588,56.42285
"ZNF749",0.07325590763958,76.0680394648829,83.8306631067961,1.97234813517457,4.63670449621289,50.45795,53.2367,96.8492,103.26625
"ZNF17",0.409689614424962,122.43367826087,127.025202912621,2.79381405897331,4.90727249662834,91.4482,96.4508,145.65005,149.89445
"ZNF555",0.709841863118086,67.4645468227425,66.2194893203883,1.74134003825229,2.62647524003775,47.9973,48.27345,81.7759,81.11705
"ZNF75D",0.0788559486885078,242.276704682274,265.114876699029,6.65906743427648,10.678029733711,164.6398,190.4079,292.08745,326.3779
"ZNF197",0.0990885408800692,260.542018394649,276.25775631068,4.76474859105962,8.42997149513794,208.1696,214.1067,297.31025,324.20895
"ZNF732",0.503833356764358,4.65101204013378,5.33757087378641,0.47614374466837,1.0716580209967,0.627,0.63315,3.8881,4.13455
"ZNF546",0.98821230125713,53.7927204013378,53.7157087378641,2.65083888022284,4.42229592790419,30.3377,30.2302,67.71765,68.7242
"ZNF286A",0.0163107254548317,282.638416722408,325.407665048544,8.51885472719027,17.365108713942,182.79415,217.0666,336.34745,387.84685
"ZKSCAN4",0.953027244125932,123.315829765886,123.619436893204,2.61254879855452,4.41595258566578,90.4736,95.65005,151.2504,151.52435
"ZNF643",0.762846639606117,66.425697993311,63.2875155339806,5.8435973299795,5.04472200494822,34.3864,34.2819,77.4147,75.14885
"ZNF642",0.45505480568452,111.394332441472,102.24909223301,7.0112770641503,4.40384561287174,77.15895,77.3786,123.3937,122.80915
"ZNF490",0.611970329957038,172.073635785953,167.437829126214,4.80869390613194,6.86381966935676,120.8468,115.1668,201.2804,206.5138
"ZNF626",0.554785350253765,101.175773578595,90.7598378640777,9.43657654356194,12.2658744165301,20.20075,19.1137,120.25125,119.73215
"ZNF793",0.380303708001229,115.070463210702,127.680013592233,6.75973102515649,14.6169312883302,38.2648,48.11915,164.2604,141.51425
"ZNF383",0.957892763369814,107.393775250836,106.999257281553,3.7296756427724,6.68398224317374,69.36115,72.07675,127.19965,118.97585
"ZNF669",0.523971859120857,112.474624414716,108.753760194175,2.97470461789842,4.92188638959489,75.87145,71.669,133.44855,130.08065
"ZNF559",0.389227478413236,251.98602006689,238.33123592233,8.50112952140842,10.9117979929074,161.3676,161.15795,299.37225,301.6229
"ZNF177",0.287433511347603,55.0780153846154,49.5691398058252,2.75254921337755,3.70919209188688,22.9868,20.39255,73.81365,73.0103
"ZNF548",0.244915063543527,263.542300668896,279.081067961165,6.67291278322558,11.9040007240924,185.4826,188.7578,319.02615,337.53715
"ZNF563",0.126510337013831,44.6198030100334,39.5252330097087,1.84524028655709,1.84711866481559,26.8676,26.5041,55.30105,51.2206
"ZNF567",0.563066564155969,168.345034448161,175.381163106796,6.03380326954817,11.0592348787862,111.59025,115.31595,194.11585,198.70485
"ZNF573",0.431358445480707,20.9505237458194,23.1219737864078,1.24227199842289,3.01319931970145,10.15095,10.84765,24.03025,25.5614
"ZNF527",0.657667047652061,110.610614381271,107.012817475728,4.15754629545024,6.73663734441088,68.8818,66.77555,132.4222,119.9952
"ZNF33A",0.979199352926676,628.999306354515,629.847766990291,16.280716733359,28.9306328716481,424.40875,454.3888,794.56525,791.475
"ZKSCAN3",0.122357937076756,71.854916722408,78.3433902912621,2.09008810954241,3.76566080878053,45.70295,46.51975,91.43955,98.6382
"ZNF676",0.163257581268882,3.87127056856187,6.33157378640777,0.68179991429067,2.25992256387504,0,0,1.6948,1.85395
"ZNF699",0.990760825883332,31.9006183946488,31.8681427184466,1.45069321687943,2.25034203496874,15.82695,17.92495,40.8584,40.10445
"ZNF250",0.638683966603323,192.562336120401,187.793841747573,5.10191233065587,8.92271332209766,131.02025,124.4878,230.4846,210.804
"ZNF79",0.112988195628918,105.251000668896,112.746019417476,2.21292312279327,4.83854853641742,78.086,79.83175,125.65335,134.84105
"ZNF681",0.13948242543786,93.835662541806,75.3116174757282,6.91448974228761,7.14429757440635,19.0884,16.97245,115.1068,104.61415
"ZNF766",0.0249004630873085,399.100283946488,438.469224271845,8.61242105699116,16.2106926229815,301.1625,317.7484,479.86455,498.34835
"ZNF471",0.107308507408853,58.5196434782609,71.3026873786408,3.97843849870256,6.97986932093506,13.57345,13.56295,82.0485,107.04485
"ZNF836",0.209024178709248,90.8725347826087,97.3083252427184,2.53858058913304,4.65293934445309,58.6831,63.5222,113.8504,112.22605
"ZNF493",0.337777676755422,88.5246444816053,79.5871213592233,5.05142166433355,6.04573619982865,35.21235,31.6261,112.0936,112.0976
"ZNF167",0.946110321844731,50.2937361204013,50.0274563106796,2.04710057405579,3.1096739124934,26.6863,30.15695,64.28485,66.082
"ZNF565",0.106275255680114,75.7184234113712,68.7764990291262,2.29977637177593,2.96338412042202,51.2146,45.8023,89.3368,87.579
"ZNF34",0.19105698115419,106.59633812709,99.7234126213592,2.84360308674065,3.4275692270198,74.6722,78.5494,125.31435,114.0206
"ZNF140",0.803273725277715,435.430785284281,430.497358252427,10.3452330405509,15.3221280715453,313.50615,334.1227,518.73105,504.38315
"ZNF658",0.157825881171066,54.1352053511706,49.3100388349515,1.77973475715223,2.65521930508441,31.9988,30.92815,67.80955,66.39985
"ZNF765",0.0771779231781826,236.160391304348,259.279638834951,5.98434837283345,13.8871850645446,173.4193,172.1688,275.38975,326.7353
"ZNF124",0.22081110324786,89.3431628762542,82.5195,2.83266692840089,4.71823492423958,56.03165,52.6067,108.10615,104.34835
"ZNF569",0.692239134130087,104.19227458194,107.827817475728,4.61006894410522,8.09103981300593,55.2755,56.3467,138.1109,134.7138
"ZNF777",0.185963620673709,544.275975919732,576.958644660194,13.1246771338637,17.7200552520901,380.51175,450.1569,673.6611,669.7135
"ZNF605",0.221833668791839,314.24954180602,336.075067961165,9.13275671840982,14.8551468073986,209.00385,224.75065,395.31855,415.39725
"ZNF799",0.0650253517094553,106.341520735786,94.6052776699029,3.47807943748851,3.84302297275371,68.3818,68.9092,128.7227,111.61085
"ZNF782",0.302362294201793,47.463252173913,50.518640776699,1.57284140007446,2.13329409893966,28.7066,35.11235,59.58345,65.74925
"ZNF846",0.196857341103047,82.0124672240803,74.2317708737864,3.1533804322684,4.61876019207403,49.1295,42.73905,100.87255,95.7518
"ZNF136",0.88362958360805,190.803711371237,189.491336893204,4.54287685831892,7.69141183274482,134.9442,129.2516,240.6098,234.49775
"ZKSCAN5",0.404381822326183,398.792667892977,411.795222330097,7.79714185214161,13.8624130386991,308.3955,321.99835,451.38985,455.8177
"ZNF33B",0.972286200710343,454.789932441472,453.822162135922,14.4213959014458,22.2870982109044,301.7945,307.5114,537.4893,546.0941
"ZNF431",0.422337932535711,184.238796655518,193.941455339806,6.34591190483174,9.17075062835135,114.7673,126.74995,234.19205,242.8952
"ZNF418",0.00081693000240679,34.1248678929766,55.7306184466019,2.79080544206852,7.32414166333079,8.7191,10.8976,37.74635,74.74845
"ZNF700",0.425305808133164,304.662605016722,290.556066990291,9.47655972539193,12.2340382462318,199.16985,214.71025,353.5598,340.7607
