"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF493",0.160686761764263,91.0006181102362,79.9802005509642,7.16753698739208,3.90425566246025,34.70965,33.9273,126.6486,104.8182,203.782860784314,83.3479880239521,179.5245,63.1158,149.2597,247.9289,34.3811,111.6894,11.3270312604886,3.39304775955724,0.409003915752113,0.351572069550396,-1.28981343947312,-1.5081076339672,"LUSC"
"ZNF167",0.730196150623199,50.1453661417323,48.9715994490358,2.44506331360086,1.82066830056761,31.29845,25.63035,63.44985,64.69,60.5809862745098,49.0825918163673,58.6473,43.3628,47.75975,71.6153,26.806,64.1207,3.34146830098131,1.46387237256446,0.810197965314727,0.739382716680904,-0.303653632961061,-0.435606774448728,"LUSC"
"ZNF565",0.336055474396669,71.8843905511811,75.7327936639118,3.45229588431727,2.03206059867045,50.65595,48.57035,84.8441,91.64055,54.800568627451,75.0441121756487,54.7635,67.7825,46.74725,60.0258,49.0066,89.6717,1.4348788323361,1.76679995233259,1.3694038958942,1.2377313356524,0.453548021952825,0.307698194369958,"LUSC"
"ZNF34",0.260857517834468,108.972270866142,103.479764187328,4.45045084622104,2.43030557234105,77.31365,74.08775,128.32655,119.89645,131.011082352941,104.80635249501,132.6531,97.5736,107.76665,147.601,74.6924,121.5259,3.92700372402317,2.1104830808424,0.799980815460053,0.735554615760958,-0.321962692103001,-0.443095627693934,"LUSC"
"ZNF140",0.548866465234492,436.833432283465,426.641540495868,14.4548561738048,8.6840301694214,326.8348,319.24955,499.39465,509.3658,395.877417647059,429.367848902196,382.2699,406.4475,335.89365,433.56365,317.8147,506.9366,14.6280669182228,7.5305565019469,1.08459798352276,1.06324745945208,0.117160393219378,0.0884774077590993,"LUSC"
"ZNF658",0.987947914405954,54.2870952755906,54.3359504132231,2.81916716416744,1.63805053718385,31.0686,33.07105,71.37525,67.80955,45.873337254902,54.3594810379242,45.0206,48.753,36.0023,54.85095,32.6389,68.3256,1.88311536535158,1.39698224868001,1.18499076567871,1.08290427048951,0.244875816624434,0.114905713311599,"LUSC"
"ZNF765",0.666086804295007,241.494029133858,246.554308539945,9.35530164109451,6.10979187959263,177.74375,176.14845,285.05255,285.33885,204.526035294118,244.866770658683,201.1078,223.0216,179.49555,215.836,175.2078,285.3933,5.19930289755503,5.07454448992511,1.19724009858478,1.10896544042548,0.25971250424653,0.149214406343934,"LUSC"
"ZNF124",0.160539086785509,92.3229708661417,85.5292809917355,4.76129225556083,2.32462876758384,52.24045,56.03165,120.9924,104.48615,72.6687705882353,87.3999467065868,68.5789,75.9071,57.58095,79.9105,55.1107,108.1602,3.35135200283706,2.0859714678681,1.20271673786561,1.10685794027026,0.266296901037356,0.146470071244008,"LUSC"
"ZNF569",0.664643974876338,107.94604488189,104.296075482094,7.86293497271019,4.14842558168617,55.4962,54.72525,139.1146,133.2455,104.658884313725,106.423314770459,93.1082,89.5279,88.0055,122.9002,55.0034,135.1253,4.01172462657516,3.71445876596197,1.01685886934782,0.961546888458804,0.0241194602958478,-0.0565708846465368,"LUSC"
"ZNF777",0.074038573567674,520.24954488189,560.574616253444,19.9382464361914,11.3520536949233,362.8649,400.52925,631.15335,676.9236,379.163592156863,550.801319760479,378.8408,517.6225,301.04165,445.06505,391.6129,671.2396,13.5458665553386,9.83592054057611,1.45267460049964,1.36633250695279,0.538711575083441,0.450308616685928,"LUSC"
"ZNF605",0.554948216409908,323.165161417323,313.893620661157,14.5887721977268,7.75495337602309,224.18725,216.49055,395.4765,397.1897,243.480425490196,316.970382035928,239.7804,285.5346,205.0565,272.17535,219.5504,400.1264,8.5716213090319,6.81485279029848,1.30183106669777,1.19081709764434,0.380542248004383,0.2519518409224,"LUSC"
"ZNF799",0.45242022169672,103.804422047244,99.7361371900826,4.84981190325656,2.71331282201999,67.6395,67.69785,126.2956,117.3182,150.865117647059,100.955535728543,142.1592,94.2063,123.12645,164.64945,67.919,119.7966,7.90304756522802,2.34451274367368,0.669177456678377,0.662681697702294,-0.579539250357071,-0.593612020046373,"LUSC"
