"gene","N1-N0","N2-N0","N2-N1","NX-N0","NX-N1","NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX"
"ZNF498",0.965175536252201,0.999998903120634,0.988527954059454,0.587666958277817,0.999583092671166,0.962866641317497,510.71882,474.050666666667,512.0808,465.608515,20.1627444155012,128.764058841929,54.0542,27.7537199234865,422.1369,383.61875,485.0537,394.60145,589.458825,598.6498,539.1079,548.01445
"ZNF441",0.78946065352959,0.563933967517774,0.973828295383451,0.715867485565885,0.973103333964493,0.813525175107836,237.5159325,290.298,327.20215,265.02799,13.4993878286779,67.4680163541956,51.77475,24.7412391288097,158.5775,228.55045,301.314775,195.309775,304.9698,344.71705,353.089525,320.71385
"ZNF420",0.854451257547441,0.995542676813596,0.893364063229165,0.925119739139315,0.722433453193982,0.99999999571248,114.83675,85.3662,125.1999,125.30387,10.1417452747068,21.9097139743996,29.8951,13.2070615225363,73.327675,63.7533,110.25235,88.630575,135.9783,99.2853,140.14745,159.522925
"ZNF763",0.785988740745695,0.997078379902612,0.866245189741746,0.999899431886662,0.817471022180592,0.996160030376514,156.7330325,118.622333333333,166.66365,155.517845,9.99929102255498,46.9583789076147,65.43165,16.6083598155258,119.6262,92.0858,133.947825,97.978425,201.9663,165.4417,199.379475,201.713125
"ZNF679",0.99767912851977,0.998685619249095,1,0.853837306270297,0.950351752630898,0.970135561783144,0.0092425,0,0,0.02741,0.0092425,0,0,0.02741,0,0,0,0,0,0,0,0
"ZNF682",0.857395578717729,0.614345777229237,0.969114980429222,0.0448585105678966,0.974634015773783,0.996967802653408,25.2049625,40.4653333333333,53.7134,48.85153,2.29005945847311,28.9470406640203,1.2957,11.4529873123476,14.844725,11.8198,53.06555,12.5981,33.876775,58.3969,54.36125,59.779525
"ZNF772",0.162193639575965,0.303838511384579,0.0356944116354188,0.999973031337547,0.19224638346779,0.316163776926089,246.1129775,128.528733333333,364.76565,245.040355,12.1216539193172,63.3047575858332,113.88965,25.6800608144718,183.807475,65.38925,307.820825,123.204675,304.819825,164.05745,421.710475,306.838625
"ZNF257",0.300304200682616,0.95269833398347,0.880459454561193,0.799698193427216,0.564316971062656,0.998005807648167,92.353655,33.4585333333333,71.137,78.460195,7.84311060005723,20.9300056267179,5.2645,15.4775715256004,62.470675,13.06175,68.50475,21.9795,110.958275,47.7223,73.76925,114.019075
"ZNF785",0.668856488378325,0.192027106538408,0.826183138515807,0.839488818806656,0.884363532768327,0.350083913057139,250.23863,198.5161,138.92915,232.92802,12.1360524502575,47.7858189197381,20.31965,16.9025453405733,191.406425,150.7447,128.769325,195.908275,288.2147,223.41835,149.088975,264.058625
"ZNF98",0.821707922621292,0.996730568169341,0.882768342194987,0.999993740770744,0.84145770520228,0.996506555372498,32.9028575,11.8744666666667,39.0417,32.61637,5.95505970203973,6.28170903134206,37.3598,10.4822055598853,1.105225,5.95825,20.3618,1.745875,55.062075,16.66115,57.7216,42.62305
"ZNF786",0.7018293058734,0.833318363600814,0.517088443713169,0.538772330834028,0.969113201935078,0.553444487031836,97.837145,121.608166666667,75.39595,111.35012,4.73656986828853,44.9077927094075,31.94815,9.32495469646001,77.231175,87.4088,59.421875,80.282625,119.852775,163.9137,91.370025,137.027925
"ZNF517",0.999659925425629,0.652428501742799,0.757320510580876,0.999872456957109,0.99990724267742,0.65284419606012,326.0213625,334.6711,201.7063,328.8734,22.0307621508553,76.9668016987194,12.2179,37.5329021680929,223.877875,267.7652,195.59735,226.91805,432.14335,401.07275,207.81525,412.935925
"ZNF675",0.784768899537083,0.291723630239158,0.188600613223945,0.998804879967168,0.834890921532991,0.285039118053918,164.9589125,126.363366666667,253.755,162.15069,10.1250758662743,46.9284259052135,42.6828,17.141320057381,119.51375,80.88845,232.4136,114.181025,214.181275,159.13735,275.0964,184.88475
"ZNF860",0.680902254626361,0.868134070633874,0.999347397818817,0.966331372558991,0.575769596371941,0.792628222875266,28.49587,9.04176666666667,12.2776,32.20543,3.50628026760225,5.45151996857553,4.1487,9.21959993188739,10.639425,3.68015,10.20325,6.52585,40.598275,12.57645,14.35195,37.057975
"ZNF695",0.417567551581927,0.624170279872033,0.99994227939415,0.999899705520546,0.430589979095785,0.626497793989086,7.1465575,18.7467333333333,18.12645,6.922805,2.16197703711473,4.64037432625621,0.99685,2.39267306220552,2.024525,14.13095,17.628025,2.0631,6.251375,21.4678,18.624875,7.31115
