"gene","p-adj-Esophagus Squamous Cell Carcinoma-Esophagus Adenocarcinoma, NOS","mean-Esophagus Adenocarcinoma, NOS","mean-Esophagus Squamous Cell Carcinoma","SEM-Esophagus Adenocarcinoma, NOS","SEM-Esophagus Squamous Cell Carcinoma","Q1-Esophagus Adenocarcinoma, NOS","Q1-Esophagus Squamous Cell Carcinoma","Q3-Esophagus Adenocarcinoma, NOS","Q3-Esophagus Squamous Cell Carcinoma","count-Esophagus Adenocarcinoma, NOS","count-Esophagus Squamous Cell Carcinoma"
"ZNF621",1.01568552568487e-07,761.722006818182,540.234807291667,33.7155805025012,22.5162328903444,540.87505,389.46255,873.7627,668.814375,88,96
"ZNF680",0.0601365924655595,314.216540909091,263.900186458333,21.9626581560067,15.6009037445313,167.3667,158.14825,397.4688,330.285575,88,96
"ZNF483",0.0410300748949809,28.5562193181818,44.7310791666667,3.01568842003474,6.99799603129242,7.798675,12.2006,37.5689,46.0319,88,96
"ZNF417",1.77950063573462e-08,313.317525,181.8739,20.3419728728858,10.3971428783329,192.69895,100.647025,355.2471,232.0277,88,96
"ZNF791",0.503878939604379,348.517946590909,361.996119791667,12.1946117477032,15.6923550110592,271.069125,254.043225,413.579475,461.456725,88,96
"ZNF519",0.413322983941716,64.5046852272727,70.6278052083333,4.53396055584987,5.8172141757977,37.4783,35.22925,82.39795,95.696875,88,96
"ZNF25",0.0120736441052398,175.313982954545,214.853517708333,10.4385485350881,11.4614114697901,104.662275,127.7606,217.3082,275.47525,88,96
"ZNF77",0.010445310544381,96.4732454545454,80.3395,5.08649099054714,3.72842265461455,66.054425,56.889025,115.087725,99.784175,88,96
"ZNF169",1.73959784355304e-08,131.450747727273,86.5480875,5.77920020592056,5.00347461170455,92.1793,53.506275,156.572,106.238075,88,96
"ZNF613",0.00111646272591115,95.2340829545455,67.4272822916667,7.6820328231444,3.87772482962942,47.482825,40.406975,127.781575,83.0624,88,96
"ZNF404",0.0130884444804833,43.0151443181818,30.4006708333333,4.00725999558879,3.12027520055021,17.65145,13.35075,54.11905,33.957425,88,96
"ZNF135",0.0133531996998439,22.8841193181818,46.3923239583333,2.50866511889362,8.70754568795955,8.286975,8.660575,29.41835,37.2139,88,96
"ZNF620",3.574918139293e-14,96.1766045454546,31.199025,5.94644277339789,2.77235130705869,61.799075,13.4552,112.13315,40.432125,88,96
"ZNF619",5.08482145278322e-14,100.378714772727,56.789525,4.82671337916897,2.28622960890497,68.217725,39.487975,125.03675,68.796875,88,96
"ZNF354C",1.02866243301136e-08,18.0701170454545,60.7253333333333,2.2177110695518,6.49142850578875,5.4978,18.905775,21.7002,76.0528,88,96
"ZNF114",0.00629728875476643,36.3154602272727,73.172609375,11.4774422738207,7.23448171189184,2.0043,22.932025,15.41465,93.19715,88,96
"ZNF454",0.143037236162647,7.37804318181818,9.53971770833333,0.845413856615295,1.17424210491726,2.0355,2.126525,9.72095,11.865225,88,96
"ZNF543",0.525163479883797,196.097809090909,204.426532291667,7.21558684559807,10.6352762246857,148.38275,133.305725,240.94775,256.396175,88,96
"ZNF354B",0.644739917570011,123.3201875,129.3719,11.5977596399225,6.66314541403179,74.493675,82.296,140.2923,162.747425,88,96
"ZNF223",4.83631586856159e-06,78.6102590909091,51.0884,5.08935231398108,3.0823449548161,46.574375,31.1535,98.1104,67.669475,88,96
"ZNF713",0.868481530202037,76.4610181818182,74.7948135416667,6.17269458814736,7.7797226294606,44.597875,31.8256,87.877175,89.6843,88,96
"ZNF552",3.17090798063191e-11,248.984048863636,140.505584375,13.6113441917926,7.74884114665906,154.5672,80.072575,310.913125,176.956775,88,96
