"gene","p-adj-Lung Squamous Cell Carcinoma-Lung Adenocarcinoma","mean-Lung Adenocarcinoma","mean-Lung Squamous Cell Carcinoma","SEM-Lung Adenocarcinoma","SEM-Lung Squamous Cell Carcinoma","Q1-Lung Adenocarcinoma","Q1-Lung Squamous Cell Carcinoma","Q3-Lung Adenocarcinoma","Q3-Lung Squamous Cell Carcinoma","count-Lung Adenocarcinoma","count-Lung Squamous Cell Carcinoma"
"ZNF354B",0.43948732113624,100.460778875969,102.3171822,1.62923879835014,1.76685201089127,62.575475,65.0739,127.898475,125.6719,1032,1000
"ZNF223",0.541236624271819,98.1041009689922,99.3926326,1.32141998456651,1.65207251434064,71.4601,63.106225,117.749425,128.35995,1032,1000
"ZNF713",0.496067851553699,60.4962122093023,57.0124402,4.05856596213138,3.07884251362243,27.138725,21.98575,61.100675,61.760775,1032,1000
"ZNF552",5.14317477495752e-11,274.636678875969,211.1150374,5.19406135017649,5.3778978770164,165.560675,124.700075,328.677525,251.440575,1032,1000
"ZNF154",5.14290832143161e-11,62.2111294573643,38.354053,1.67323008859618,1.4065276516239,23.78775,14.115025,82.38305,41.810375,1032,1000
"ZNF571",1.97956069438732e-05,81.7794649224806,73.5830536,1.1554647227018,1.5387184471593,58.893575,43.705275,96.0376,90.892875,1032,1000
"ZNF443",0.000283848790676222,78.6069843023256,72.5075916,1.09421641786101,1.27631073674857,55.350475,43.3891,94.133625,91.455325,1032,1000
"ZNF792",5.14126519135516e-11,138.343372868217,100.310412,1.7704931002904,1.98641692149151,99.300575,57.365775,168.095075,124.114125,1032,1000
"ZFP82",0.000114815342863395,88.2179709302326,76.8286018,1.89027111574557,2.27120925754301,50.587375,27.14685,110.570575,104.5251,1032,1000
"ZNF707",1.97906414394211e-05,263.882653682171,289.3220818,4.01913038017716,4.39323686338134,174.4426,202.27655,330.181225,353.77295,1032,1000
"ZNF746",5.14308595711555e-11,542.521497674419,681.590474,6.00639974271724,11.5723990968939,433.776325,445.191075,621.571,813.956925,1032,1000
"ZNF678",5.14126519135516e-11,59.6543346899225,41.9626148,0.940924739000087,0.728259704942889,38.304725,26.4249,75.3367,52.316325,1032,1000
"HKR1",0.196870291825373,604.021406589147,583.0445482,9.84462640794932,13.0103710848602,402.1649,364.1078,723.159025,685.86665,1032,1000
"ZNF101",0.453481835654951,117.291659302326,119.2547512,1.85201001001034,1.84979198098582,81.917825,81.480425,139.69065,141.343625,1032,1000
"ZNF716",0.0116533861396809,4.783325,2.8048386,0.689317182775336,0.357311852234876,0,0,0,0,1032,1000
"ZNF708",5.1423310054588e-11,156.702351356589,113.7598734,3.13359728064153,2.25256270861208,102.71145,71.426725,185.301025,144.1207,1032,1000
"ZNF721",5.15101294951137e-11,431.680688178295,360.2264716,4.98722687188035,8.17243537642565,340.110925,250.53225,499.4916,425.9247,1032,1000
"ZNF662",5.14304154819456e-11,107.731217635659,69.69248,3.17628343511272,2.39206045315065,36.85105,17.84415,155.4451,97.796775,1032,1000
"ZNF320",5.14133180473664e-11,503.585799224806,366.8009382,6.77890557389099,9.83405920300669,365.442625,130.0151,602.555125,517.5174,1032,1000
"ZNF530",5.14126519135516e-11,72.0129794573643,98.9349,1.17877766081333,1.60207530397727,45.7175,64.353225,87.7748,123.827975,1032,1000
"ZFP1",8.14962576944911e-05,199.371030620155,215.7761766,2.36811038053532,3.44190227910498,149.25665,150.79165,235.07885,248.298625,1032,1000
"KRBA2",5.14126519135516e-11,57.8582930232558,43.4421874,0.95767482207386,0.722323627358999,36.502775,26.8549,72.6628,55.56565,1032,1000
"ZNF93",0.597946489407525,77.5744414728682,79.4465746,1.99377290026443,2.96115278313792,40.648625,28.732075,93.09605,100.346925,1032,1000
